,Title,Artist,ConstituentID,dateCreated,Medium,Department,dateAcquired,URL,ThumbnailURL,Gender,Nationality
105770,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146731,http://www.moma.org/media/W1siZiIsIjIxNDMxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8685a3d6eb77d6be,F,Yugoslav
105771,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146732,http://www.moma.org/media/W1siZiIsIjIxNDMxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bd840117f2649306,F,Yugoslav
105772,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Etching with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146733,http://www.moma.org/media/W1siZiIsIjIzMzU2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fea72f8f3c895aaa,F,Yugoslav
105773,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146734,http://www.moma.org/media/W1siZiIsIjIzMzU2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8fd87a8891a702c4,F,Yugoslav
105774,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146735,http://www.moma.org/media/W1siZiIsIjIzMzU2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=665bcb1aba391a89,F,Yugoslav
105775,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Aquatint with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146736,http://www.moma.org/media/W1siZiIsIjIzMzUzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=880ed9dea2e17d17,F,Yugoslav
105776,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146737,http://www.moma.org/media/W1siZiIsIjIzMzUzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=642cb77e7ebd9697,F,Yugoslav
105777,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146738,http://www.moma.org/media/W1siZiIsIjIzMzUzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c968fb38efe89b70,F,Yugoslav
105778,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Aquatint with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146739,http://www.moma.org/media/W1siZiIsIjIzMzUzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=904644481c2a7fbb,F,Yugoslav
105779,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146740,http://www.moma.org/media/W1siZiIsIjIzMzUzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b6dfd53892b6af1,F,Yugoslav
105780,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146741,http://www.moma.org/media/W1siZiIsIjIzMzUzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0ffb0d0a2f6aa258,F,Yugoslav
105781,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Etching with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146742,http://www.moma.org/media/W1siZiIsIjIzMzU0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ae1e83bf6d1f439,F,Yugoslav
105782,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146743,http://www.moma.org/media/W1siZiIsIjIzMzU0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7a8bdee82f657042,F,Yugoslav
105783,Untitled from Spirit Cooking,Marina Abramović,26439,1996,Aquatint with chine collé from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,Drawings & Prints,2011,http://www.moma.org/collection/works/146744,http://www.moma.org/media/W1siZiIsIjIzMzU0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5c1439207f1683a7,F,Yugoslav
