Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Village Vanguard, New York City",Anthony Barboza,327,"(American, born 1944)",(American),(1944),(0),(Male),1988,Gelatin silver print,"21 1/4 × 14 3/16"" (54 × 36 cm)",Geraldine J. Murphy Fund,370.1997,Photograph,Photography,1997-10-09,Y,51960,http://www.moma.org/collection/works/51960,http://www.moma.org/media/W1siZiIsIjEyOTY5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df4b049783decf74,,,,54.0,,,36.0,,
Prowl,Sharon Harper,7849,"(American, born 1966)",(American),(1966),(0),(Female),March 1996,Three gelatin silver prints,"overall appr 19 13/16 × 57 3/4"" (50.4 × 146.7 cm)",Lois and Bruce Zenkel Fund,370.1998.a-c,Photograph,Photography,1998-06-11,Y,51961,http://www.moma.org/collection/works/51961,http://www.moma.org/media/W1siZiIsIjIzOTU1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e8fa268fed79a03c,,,,50.4,,,146.7,,
Wet Window 1,Bing Wright,8088,"(American, born 1958)",(American),(1958),(0),(Male),1989,Gelatin silver print,"63 15/16 × 38 11/16"" (162.5 × 98.3 cm)","Gift of Peter Norton, Norton Family Foundation",370.1999,Photograph,Photography,1999-10-14,Y,51962,http://www.moma.org/collection/works/51962,,,,,162.5,,,98.3,,
Untitled,Michael Spano,5555,"(American, born 1949)",(American),(1949),(0),(Male),1986,Gelatin silver print,"34 1/2 × 27 5/8"" (87.8 × 70.2 cm)",Gift of the artist and the New York Foundation for the Arts,371.1986,Photograph,Photography,1986-10-16,N,51976,,,,,,87.8,,,70.2,,
Untitled,Michael Spano,5555,"(American, born 1949)",(American),(1949),(0),(Male),1985,Gelatin silver print,"35 3/4 × 27 3/4"" (91 × 70.6 cm)",Acquired through the generosity of Lois and Bruce Zenkel,372.1986,Photograph,Photography,1986-10-16,N,52007,,,,,,91.0,,,70.6,,
Youthful Appearance,Dennis Farber,6988,"(American, born 1946)",(American),(1946),(0),(Male),1988,"Color instant print (Polaroid, abraded)","22 3/4 × 19 3/4"" (57.8 × 50.2 cm)",The Family of Man Fund,374.1990,Photograph,Photography,1990-10-11,N,52045,,,,,,57.8,,,50.2,,
"Papa, New Delhi. (artist's father reading newspaper)",Sanjeev Saith,7850,"(Indian, born 1958)",(Indian),(1958),(0),(Male),June 1993,"Chromogenic color print, printed 1998","11 11/16 × 17 3/8"" (29.7 × 44.2 cm)",Gift of Paul F. Walter,375.1998.x1-x2,Photograph,Photography,1998-06-11,N,52082,,,,,,29.7,,,44.2,,
Untitled,Paola Ferrario,6989,"(Italian, born 1963)",(Italian),(1963),(0),(Female),1989,Chromogenic color print,"16 1/4 × 23 3/16"" (41.2 × 58.9 cm)",The Family of Man Fund,376.1990.x1-x2,Photograph,Photography,1990-10-11,Y,52098,http://www.moma.org/collection/works/52098,http://www.moma.org/media/W1siZiIsIjIwMTg5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bb03df66c517d598,,,,41.2,,,58.9,,
Untitled from the series Illustrated Memories,Anne Turyn,5982,"(American, born 1954)",(American),(1954),(0),(Female),1983,Chromogenic color print,"18 5/16 × 14 1/4"" (46.5 × 36.2 cm)",Purchase,376.1992.x1-x2,Photograph,Photography,1992-06-18,Y,52099,http://www.moma.org/collection/works/52099,http://www.moma.org/media/W1siZiIsIjIxODUyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7c264304d3c23538,,,,46.5,,,36.2,,
"Porter, Ranikhet",Sanjeev Saith,7850,"(Indian, born 1958)",(Indian),(1958),(0),(Male),December 1992,"Chromogenic color print, printed 1998","11 15/16 × 17 15/16"" (30.3 × 45.7 cm)",Gift of Paul F. Walter,376.1998.x1-x2,Photograph,Photography,1998-06-11,N,52102,,,,,,30.3,,,45.7,,
Untitled,Paola Ferrario,6989,"(Italian, born 1963)",(Italian),(1963),(0),(Female),1988,Chromogenic color print,"16 1/4 × 23 1/16"" (41.2 × 58.6 cm)",The Family of Man Fund,377.1990.x1-x2,Photograph,Photography,1990-10-11,Y,52118,http://www.moma.org/collection/works/52118,http://www.moma.org/media/W1siZiIsIjIwMTkwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cd59ffec6fdc27f9,,,,41.2,,,58.6,,
Untitled,Anne Turyn,5982,"(American, born 1954)",(American),(1954),(0),(Female),1984,Chromogenic color print,"12 11/16 × 16 5/16"" (32.3 × 41.4 cm)",Purchase,377.1992.x1-x2,Photograph,Photography,1992-06-18,Y,52119,http://www.moma.org/collection/works/52119,http://www.moma.org/media/W1siZiIsIjIzNDAxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3bbf6b0062442be8,,,,32.3,,,41.4,,
Santa Veronica,Paola Ferrario,6989,"(Italian, born 1963)",(Italian),(1963),(0),(Female),1988,Chromogenic color print,"23 3/16 × 16 1/4"" (58.9 × 41.3 cm)",Gift of the artist,378.1990.x1-x2,Photograph,Photography,1990-10-11,Y,52138,http://www.moma.org/collection/works/52138,http://www.moma.org/media/W1siZiIsIjIwMTkwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dd9a4023db55ee5e,,,,58.9,,,41.3,,
"Bluff City, Tennessee. (shack)",Mike Smith,5490,"(American, born 1951)",(American),(1951),(0),(Male),1997,Chromogenic color print,"16 15/16 × 20 3/4"" (43 × 52.7 cm)",Arthur M. Bullowa Fund,378.1998.x1-x2,Photograph,Photography,1998-06-11,N,52142,,,,,,43.0,,,52.7,,
New York City,Bruce Gilden,6914,"(American, born 1946)",(American),(1946),(0),(Male),1989,Gelatin silver print,"18 5/16 × 12 1/4"" (46.6 × 31.2 cm)",The Family of Man Fund,379.1990,Photograph,Photography,1990-10-11,Y,52158,http://www.moma.org/collection/works/52158,http://www.moma.org/media/W1siZiIsIjIzOTU1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9f7875a36dfd0acc,,,,46.6,,,31.2,,
"Banner, Hagler/Leonard Fight, Ceasar's Vegas",Jay Wolke,7709,"(American, born 1954)",(American),(1954),(0),(Male),1987,Chromogenic color print,"17 13/16 × 14 5/8"" (45.2 × 37.2 cm)",Gift of the artist,379.1992.x1-x2,Photograph,Photography,1992-06-18,Y,52159,http://www.moma.org/collection/works/52159,http://www.moma.org/media/W1siZiIsIjIzNDAxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ab101aa2303f64b7,,,,45.2,,,37.2,,
