ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate,WikiQID,ULAN
1,Robert Arneson,"American, 1930–1992",American,M,1930,1992,,
2,Doroteo Arnaiz,"Spanish, born 1936",Spanish,M,1936,0,,
3,Bill Arnold,"American, born 1941",American,M,1941,0,,
4,Charles Arnoldi,"American, born 1946",American,M,1946,0,Q1063584,500027998
5,Per Arnoldi,"Danish, born 1941",Danish,M,1941,0,,
6,Danilo Aroldi,"Italian, born 1925",Italian,M,1925,0,,
7,Bill Aron,"American, born 1941",American,M,1941,0,,
9,David Aronson,"American, born Lithuania 1923",American,M,1923,0,Q5230870,500003363
10,Irene Aronson,"American, born Germany 1918",American,F,1918,0,Q19748568,500042413
11,Jean (Hans) Arp,"French, born Germany (Alsace). 1886–1966",French,M,1886,1966,Q153739,500031000
12,Jüri Arrak,"Estonian, born 1936",Estonian,M,1936,0,,
13,J. Arrelano Fischer,"Mexican, 1911–1995",Mexican,M,1911,1995,,
15,Folke Arstrom,"Swedish, 1907–1997",Swedish,M,1907,1997,,
16,Cristobal Arteche,"Spanish, 1900–1964",Spanish,M,1900,1964,,
19,Richard Artschwager,"American, 1923–2013",American,M,1923,2013,Q568262,500114981
21,Ruth Asawa,"American, 1926–2013",American,F,1926,2013,Q7382874,500077806
22,Isidora Aschheim,Israeli,Israeli,F,0,0,,
23,Charles Robert Ashbee,"British, 1863–1942",British,M,1863,1942,Q614071,500030367
24,Donald Ashcraft,"American, born 1927",American,M,1927,0,,
25,E. M. Ashe,"American, 1867–1941",American,M,1867,1941,,
27,Erik Gunnar Asplund,"Swedish, 1885–1940",Swedish,M,1885,1940,Q312070,500011232
28,Geneviève Asse,"French, born 1923",French,F,1923,0,Q1978192,500025324
30,Sergio Asti,"Italian, born 1926",Italian,M,1926,0,,
31,Dana Atchley,"American, 1941–2000",American,F,1941,2000,,
34,Alvar Aalto,"Finnish, 1898–1976",Finnish,M,1898,1976,Q82840,500002617
35,Aino Aalto,"Finnish, 1894–1949",Finnish,F,1894,1949,Q273511,500024110
36,Eero Aarnio,"Finnish, born 1932",Finnish,M,1932,0,Q707025,500270610
37,Jules Aarons,"American, 1921–2008",American,M,1921,2008,,
38,Magdalena Abakanowicz,"Polish, 1930–2017",Polish,F,1930,2017,Q158080,500084577
39,James Abbe,"American, 1883–1973",American,M,1883,1973,Q321301,500026671
40,Jussuf Abbo,"Palestinian, 1888–1953",Palestinian,M,1888,1953,,
41,Berenice Abbott,"American, 1898–1991",American,F,1898,1991,Q231861,500020631
42,Nobuya Abe,"Japanese, 1913–1971",Japanese,M,1913,1971,,
43,Abe Shiro (pen Name: Suichiku),"Japanese, born 1900",Japanese,M,1900,0,,
44,Robert Abel,"American, born 1937",American,M,1937,0,Q7341326,
46,Sigmund Abeles,"American, born 1934",American,M,1934,0,,
47,Raimund Abraham,"American, born Austria. 1933–2010",American,M,1933,2010,Q78819,500031964
49,Ivor Abrahams,"British, born 1935",British,M,1935,0,Q11714362,500012378
50,Gerald Abramovitz,"British, born South Africa. 1928–2011",British,M,1928,2011,,
51,William Ross Abrams,"American, 1920–2007",American,M,1920,2007,,
52,Rodolfo Abularach,"Guatemalan, born 1933",Guatemalan,M,1933,0,Q7357131,500118427
53,Vito Acconci,"American, 1940–2017",American,M,1940,2017,Q433471,500014538
54,Milton Ackoff,"American, born 1915",American,M,1915,0,,
55,Norman Ackroyd,British,British,M,0,0,Q7051892,500029028
56,Luis Alberto Acuña,"Colombian, 1904–1994",Colombian,M,1904,1994,,
57,Henri Georges Adam,"French, 1904–1967",French,M,1904,1967,Q662900,500020748
58,Antoine Samuel Adam-Salomon,"French, 1818–1881",French,M,1818,1881,,
59,Valerio Adami,"Italian, born 1935",Italian,M,1935,0,Q562139,500013534
60,Ansel Adams,"American, 1902–1984",American,M,1902,1984,Q60809,500026108
61,Alice Adams,"American, born 1930",American,F,1930,0,Q4725709,500033075
62,Clinton Adams,"American, 1918–2002",American,M,1918,2002,Q5134058,500042367
63,Dacres Adams,"British, 1864–1951",British,M,1864,1951,,
64,Dennis Adams,"American, born 1948",American,M,1948,0,,
65,Kenneth M. Adams,"American, 1897–1966",American,M,1897,1966,,
66,Robert Adams,"American, born 1937",American,M,1937,0,Q1392710,500037036
67,Shelby Lee Adams,"American, born 1950",American,F,1950,0,,
68,Charles Addams,"American, 1912–1988",American,M,1912,1988,Q361106,500074368
69,Allan Adler,"American, 1916–2002",American,M,1916,2002,,
70,Jankel Adler,"Polish, 1895–1949",Polish,M,1895,1949,Q213726,500027359
71,Virginia Admiral,"American, 1915–2000",American,F,1915,2000,Q7815833,500044912
72,Pic Adrian,"Romanian, born 1910",Romanian,M,1910,0,,
74,Roy Adzak,"British, 1927–1987",British,M,1927,1987,Q3445734,500032997
76,Nicholas Africano,"American, born 1948",American,M,1948,0,,
77,Afro (Afro Basaldella),"Italian, 1912–1976",Italian,M,1912,1976,Q388090,500014109
79,Agam (Yaacov Agam),"Israeli, born 1928",Israeli,M,1928,0,Q276030,500019224
80,Mehemed Fehmy Agha,"American, born Russia. 1896–1978",American,M,1896,1978,Q3853982,500032736
81,Kathleen Agnoli,"American, born 1945",American,F,1945,0,,
82,Peter Agostini,"American, 1913–1993",American,M,1913,1993,,
83,Olympe Aguado de las Marismas,"French, 1827–1894",French,M,1827,1894,Q2734214,500345720
84,Dongkuk S. Ahn,"American, 1937–2013",American,M,1937,2013,,
85,Aarne Aho,"Finnish, 1904–1978",Finnish,M,1904,1978,,
86,Otl Aicher (also known as Otto Aicher),"German, 1922–1991",German,M,1922,1991,Q61191,500058307
87,Lucien Aigner,"American, born Hungary. 1901–1999",American,M,1901,1999,Q3265338,500043259
88,Gregory Ain,"American, 1908–1988",American,M,1908,1988,Q5606793,500008108
89,Edgar Ainsworth,"British, 1906–1975",British,M,1906,1975,,
91,Roberto Aizenberg,"Argentine, 1928–1996",Argentine,M,1928,1996,,
92,Kinji Akagawa,"Japanese, born 1940",Japanese,M,1940,0,,
93,Ryoji Akiyama,"Japanese, born 1942",Japanese,M,1942,0,Q7385596,
94,Munira Al-Kazi,"Kuwaiti, born 1939",Kuwaiti,F,1939,0,,
95,Alastair (Hans H. Voight),"German, 1887–1969",German,M,1887,1969,,
96,Anni Albers,"American, born Germany. 1899–1994",American,F,1899,1994,Q86078,500012591
97,Josef Albers,"American, born Germany. 1888–1976",American,M,1888,1976,Q170071,500033049
98,Beatrice Albert,American,American,F,0,0,,
99,Joan Albert,"American, 1943–2012",American,F,1943,2012,,
100,Ivan LeLorraine Albright,"American, 1897–1983",American,M,1897,1983,Q1392676,500016413
103,Albert Alcalay,"American, 1917–2008",American,M,1917,2008,,
104,L. (Alfred Lewin Copley) Alcopley,"American, born Germany. 1910–1992",American,M,1910,1992,Q3611295,500019879
106,Alan Aldridge,"British, born 1943",British,M,1943,0,,
107,Pierre Alechinsky,"Belgian, born 1927",Belgian,M,1927,0,Q328248,500027985
108,Peter Alexander,"American, 1939-2020",American,M,1939,2020,,
111,Carlo Alfano,Italian,Italian,M,0,0,,
112,José R. Alicea,"American, born Puerto Rico 1928",American,M,1928,0,,
114,James Alinder,"American, born 1941",American,M,1941,0,,
115,Yves Alix,"French, 1890–1969",French,M,1890,1969,,
116,Wobbe Alkema,"Dutch, 1900–1984",Dutch,M,1900,1984,,
117,William Allan,"American, born 1936",American,M,1936,0,,
118,Alexander Alland,"American, born Russia. 1902–1989",American,M,1902,1989,,
119,Harry Allen,"American, born 1964",American,M,1964,0,,
120,Terry Allen,"American, born 1943",American,M,1943,0,Q1279401,500103769
121,Adrian Allinson,"British, 1890–1959",British,M,1890,1959,,
123,Carlos Alonso,"Argentine, born 1929",Argentine,M,1929,0,,
124,Glen Alps,"American, 1914–1996",American,M,1914,1996,,
126,Henry Altchek,"American, born 1943",American,M,1943,0,,
127,Gerhard Altenbourg,"German, 1926–1989",German,M,1926,1989,Q111018,500029807
128,Hobie Alter,"American, born 1933",American,M,1933,0,,
129,Harold Altman,"American, 1924–2003",American,M,1924,2003,,500028706
131,Giacchino Altobelli,"Italian, born 1814",Italian,M,1814,0,,
132,John Altoon,"American, 1925–1969",American,M,1925,1969,Q4062989,500019079
135,Manuel Álvarez Bravo,"Mexican, 1902–2002",Mexican,M,1902,2002,Q712262,500028115
136,Dag Alveng,"Norwegian, born 1953",Norwegian,M,1953,0,,
137,Getulio Alviani,"Italian, born 1939",Italian,M,1939,0,Q325200,500006302
138,Edmond-François Aman Jean,"French, 1858–1936",French,M,1858,1936,Q576570,500012380
139,Kunihiro Amano,Japanese,Japanese,M,0,0,,
140,Jim Amaral,"American, born 1933",American,M,1933,0,,
141,Emilio Ambasz,"Argentine, born 1943",Argentine,M,1943,0,Q655905,500016432
143,Irving Amen,"American, 1918–2011",American,M,1918,2011,,
144,Woody van Amen,"Dutch, born 1936",Dutch,M,1936,0,,
145,Gregory Amenoff,"American, born 1948",American,M,1948,0,,
148,Florencia de Amesti,"Chilean, 1925–2006",Chilean,F,1925,2006,,
149,Cuno Amiet,"Swiss, 1868–1961",Swiss,M,1868,1961,Q566797,500005153
150,Francisco Amighetti Ruiz,"Costa Rican, 1907–1998",Costa Rican,M,1907,1998,,
152,Ralph Ammirati,American,American,M,0,0,,
153,Emma Amos,"American, 1937–2020",American,F,1937,2020,Q5372719,500124746
154,Mauricio Amster Cats,"Chilean, born Lvov, 1907–1980",Chilean,M,1907,1980,,
155,William Anastasi,"American, born 1933",American,M,1933,0,Q15459073,500056778
157,Stephen Ancona,"American, born 1932",American,M,1932,0,,
158,Jiþi Anderle,"Czech, born 1936",Czech,M,1936,0,,
159,Gunnar Aagaard Andersen,"Danish, 1919–1982",Danish,M,1919,1982,,
160,Karin Schou Andersen,"Danish, born 1953",Danish,F,1953,0,,
161,Clarence William Anderson,"American, 1891–1971",American,M,1891,1971,,
162,Carl Anderson,"American, 1903–1989",American,M,1903,1989,Q1036742,
163,Dennis Anderson,"American, born 1948",American,M,1948,0,,
164,Jeremy Anderson,"American, 1921–1982",American,M,1921,1982,,
165,James Anderson,"British, 1813–1877",British,M,1813,1877,Q3160907,500001454
166,Jerry Anderson,"American, born 1938",American,M,1938,0,,
167,John Anderson,"British, born 1928",British,M,1928,0,,
168,Neil Anderson,"American, born 1933",American,M,1933,0,,
169,Paul L. Anderson,"American, 1880–1956",American,M,1880,1956,Q7152029,500065743
170,Monika Andersson,"Swedish, born 1957",Swedish,F,1957,0,,
172,Joe Andoe,"American, born 1955",American,M,1955,0,,
173,Farnese de Andrade-Neto,"Brazilian, 1926–1996",Brazilian,M,1926,1996,,
174,Carl Andre,"American, born 1935",American,M,1935,0,Q315348,500011651
175,Pat Andrea,"Dutch, born 1942",Dutch,M,1942,0,,
177,Henning Andreasen,"Danish, born 1923",Danish,M,1923,0,,
178,Laura Andreson,"American, 1902–1999",American,F,1902,1999,,
179,Mariano Andreù,"Spanish, 1888–1976",Spanish,M,1888,1976,,
180,Benny Andrews,"American, 1930–2006",American,M,1930,2006,Q4889934,500111179
181,Emmy Andriesse,"Dutch, 1914–1953",Dutch,F,1914,1953,Q530883,
182,Claudia Andujar,"Brazilian, born Switzerland 1931",American,F,1931,0,,
183,Manuel Angeles Ortiz,"Spanish, 1896–1984",Spanish,M,1895,1984,Q5994858,
184,Ludwig Angerer,"Austrian, 1827–1879",Austrian,M,1827,1879,,
185,Bruce Angrave,British,British,M,0,0,,
186,Raúl Anguiano,"Mexican, 1915–2006",Mexican,M,1915,2006,Q325503,500061635
188,Sibyl Anikeef,"American, 1896–1996",American,F,1896,1996,,
189,James Craig Annan,"British, 1864–1946",British,M,1864,1946,Q2138560,500016620
190,Thomas Annan,"British, 1829–1887",British,M,1829,1887,Q1926294,500010588
193,David Annesley,"British, born 1936",British,M,1936,0,,
194,Horst Antes,"German, born 1936",German,M,1936,0,Q446519,500010821
195,William Anthony,"American, born 1934",American,M,1934,0,,
196,Stephen Antonakos,"American, 1926–2013",American,M,1926,2013,Q15429571,500091275
198,Garo Antreasian,"American, born 1922",American,M,1922,0,,
199,Nemesio Antúnez,"Chilean, 1918–1993",Chilean,M,1918,1993,,
200,Richard Anuszkiewicz,"American, 1930-2020",American,M,1930,2020,Q558505,500025580
202,Carl Apfelschnitt,"American, born 1948",American,M,1948,0,,
203,Karel Appel,"Dutch, 1921–2006",Dutch,M,1921,2006,Q152793,500030857
204,Leon Appelbaum,American,American,M,0,0,,
205,Ida Applebroog,"American, born 1929",American,F,1929,0,Q1488149,500091955
207,Shusaku Arakawa,"American, born Japan. 1936–2010",American,M,1936,2010,Q478264,500123705
208,Diane Arbus,"American, 1923–1971",American,F,1923,1971,Q234608,500012758
209,Aleksandr Archipenko,"American, born Ukraine. 1887–1964",American,M,1887,1964,Q157578,500022523
211,Mordecai Ardon,"Israeli, born Poland. 1896–1992",Israeli,M,1896,1992,Q631835,500030956
212,Luis Arenal,"Mexican, 1909–1985",Mexican,M,1909,1985,,
214,Egmont Arens,"American, 1888–1966",American,M,1888,1966,Q1298270,500125347
215,Tamotsu Arikawa,Japanese,Japanese,M,0,0,,
216,Avigdor Arikha,"Romanian, 1929–2010",Romanian,M,1929,2010,,
217,Gonzalo Ariza,"Colombian, 1912–1995",Colombian,M,1912,1995,,
218,Alda Maria Armagni,Argentine,Argentine,F,0,0,,
219,Siah Armajani,"American, born Iran. 1939–2020",American,M,1939,2020,Q325184,500020843
220,Arman,"American, born France. 1928–2005",American,M,1928,2005,Q367973,500003632
221,Armando,"Dutch, born 1929",Dutch,M,1929,0,,
224,Kenneth Armitage,"British, 1916–2002",British,M,1916,2002,Q659535,500008896
225,John Taylor Arms,"American, 1887–1953",American,M,1887,1953,Q6260399,500022283
226,John Armstrong,"British, 1893–1973",British,M,1893,1973,Q19325186,500027012
227,François Arnal,"French, 1924–2012",French,M,1924,2012,,
229,Eugène Atget,"French, 1857–1927",French,M,1857,1927,Q322030,500008199
230,John Atherton,"American, 1900–1952",American,M,1900,1952,Q20200670,500011141
231,Anna Atkins,"British, 1799–1871",British,F,1799,1871,,
232,Conrad Atkinson,"British, born 1940",British,M,1940,0,,
233,Lawrence Atkinson,"British, 1873–1931",British,M,1873,1931,Q4072108,500002487
234,Terry Atkinson,"British, born 1939",British,M,1939,0,Q325740,500012421
235,Jean-Michel Atlan,"French, born Algeria. 1913–1960",French,M,1913,1960,Q689646,500055885
236,Dotty Attie,"American, born 1938",American,F,1938,0,Q5299500,500024829
238,Carl Auböck,"Austrian, 1924–1993",Austrian,M,1924,1993,,
239,Charles Aubry,"French, 1811–1877",French,M,1811,1877,,
240,Frank Auerbach,"British, born Germany 1931. To England 1939.",British,M,1931,0,Q215919,500023601
241,Gae Aulenti,"Italian, 1930–2012",Italian,F,1930,2012,Q8867,
242,Keith James Aulik,Nationality unknown,Nationality unknown,M,0,0,,
243,George Ault,"American, 1891–1948",American,M,1891,1948,Q2282231,500005655
245,Irving Austin,American,American,M,0,0,,
246,Mario Avati,"Italian, 1921–2009",Italian,M,1921,2009,,
247,Edward Avedisian,"American, 1936–2007",American,M,1936,2007,Q5341650,500004353
248,Richard Avedon,"American, 1923–2004",American,M,1923,2004,Q305497,500013773
249,Frances Avery,"American, born Canada. 1910–2006",American,F,1910,2006,,
250,Milton Avery,"American, 1885–1965",American,M,1885,1965,Q2714574,500002713
251,David Avison,American,American,M,0,0,,
252,Mordechai Avniel,Israeli,Israeli,M,0,0,,
254,Kiyoshi Awazu,"Japanese, 1929–2009",Japanese,M,1929,2009,,
255,Ay-O,"Japanese, born 1931",Japanese,M,1931,0,Q2874830,500125452
256,Alice Aycock,"American, born 1946",American,F,1946,0,Q523722,500026635
257,Pierre Ayot,"Canadian, 1943–1995",Canadian,M,1943,1995,,
258,Michael Ayrton,"British, 1921–1975",British,M,1921,1975,Q2739689,500018746
259,Luis Cruz Azaceta,"American, born 1942",American,M,1942,0,,
260,Umetaro Azechi,"Japanese, 1902–1999",Japanese,M,1902,1999,Q11578726,500330875
261,Kengiro Azuma,"Japanese, born 1926",Japanese,M,1926,0,Q139095,500192170
262,Johannes Baader,"German, 1875–1955",German,M,1875,1955,Q67897,500072111
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),"German, 1892–1927",German,M,1892,1927,Q481655,500108031
264,Kurt W. Baasch,"American, born Venezuela. 1891–1964",American,M,1891,1964,,
265,Alice Baber,"American, 1928–1982",American,F,1928,1982,,
266,Bacard Fils,French,French,M,0,0,,
268,Edmondo Bacci,"Italian, 1913–1978",Italian,M,1913,1978,,
269,Elvira Bach,"German, born 1951",German,F,1951,0,,
270,Olof Backman,"Swedish, born 1899",Swedish,M,1899,0,,
271,Olof Backstrom,"Finnish, born 1922",Finnish,M,1922,0,,
272,Francis Bacon,"British, born Ireland. 1909–1992",British,M,1909,1992,Q154340,500021153
273,Peggy Bacon,"American, 1895–1987",American,F,1895,1987,Q7160630,500024574
275,Karl Baden,"American, born 1952",American,M,1952,0,,
276,Mowry Thatcher Baden,"American, born 1936",American,M,1936,0,,
277,Aquiles Badi,"Argentine, 1894–1976",Argentine,M,1894,1976,,
278,Libero Badii,"Argentine, 1916–2001",Argentine,M,1916,2001,,
279,Frank Badur,"German, born 1944",German,M,1944,0,,
280,Donald Baechler,"American, born 1956",American,M,1956,0,,
281,Jo Baer,"American, born 1929",American,F,1929,0,Q1689871,500009657
282,Martin Baer,"American, 1894–1961",American,M,1894,1961,,
283,Olle Baertling,"Swedish, 1911–1981",Swedish,M,1911,1981,,
284,Myrna Báez,"American, born Puerto Rico 1931",American,F,1931,0,,
285,John Bageris,"American, 1924–2000",American,M,1924,2000,Q6220240,
286,Heinz Bahr,"German, born 1934",German,M,1934,0,,
287,Malcolm Bailey,"American, 1947–2011",American,M,1947,2011,,
288,Oscar Bailey,"American, 1925–2010",American,M,1925,2010,,
289,William Bailey,"American, 1930–2020",American,M,1930,2020,,
290,Larry Bair,"American, 1952–1990",American,M,1952,1990,,
291,Eugenie Baizerman,"American, born Poland. 1899–1949",American,F,1899,1949,,
292,Enrico Baj,"Italian, 1924–2003",Italian,M,1924,2003,Q765758,500030098
294,Carl Baker,American,American,M,0,0,,
296,Mikal Baker,"American, born 1946",American,M,1946,0,,
298,Vagrich Bakhchanyan,"Russian, 1938–2009",Russian,M,1938,2009,,
299,Gerhard H. Bakker,"American, born Germany. 1906-1988",American,M,1906,1988,,
300,Léon Bakst,"Russian, 1866–1924",Russian,M,1866,1924,Q214666,500009524
301,Gerard Baksteen,"Dutch, 1887–1976",Dutch,M,1887,1976,,
302,Amèrico Balán,"Argentine, 1915–1986",Argentine,M,1915,1986,,
303,Jirí Balcar,"Czech, 1929–1968",Czech,M,1929,1968,,
304,John Baldessari,"American, 1931-2020",American,M,1931,2020,Q683378,500098854
305,George Baldessin,"Australian, 1939–1978",Australian,M,1939,1978,,
307,C. Leroy Baldridge,"American, 1889–1975",American,M,1889,1975,,
308,Édouard-Denis Baldus,"French, 1813–1882",French,M,1813,1882,Q71244,500024737
309,Benjamin Baldwin,"American, 1913–1993",American,M,1913,1993,,
310,Joost Baljeu,"Dutch, 1925–1991",Dutch,M,1925,1991,Q12012418,500000507
311,Giacomo Balla,"Italian, 1871–1958",Italian,M,1871,1958,Q368254,500014876
313,R. Maxil Ballinger,"American, 1914–1958",American,M,1914,1958,,
314,Theo H. Ballmer,"Swiss, 1902–1965",Swiss,M,1902,1965,Q2416828,500060722
315,Alexander Bally,"American, born 1938",American,M,1938,0,,
316,John F. Balossi,"American, 1931–2007",American,M,1931,2007,,
317,Balthus (Baltusz Klossowski de Rola),"French, 1908–2001",French,M,1908,2001,Q325925,500021167
318,Lewis Baltz,"American, 1945–2014",American,M,1945,2014,Q353266,500011333
319,Thomas Bamberger,"American, born 1948",American,M,1948,0,,
320,McDonald (Mackey Jeffries) Bane,"American, born 1928",American,F,1928,0,,
321,Colette Bangert,"American, born 1934",American,F,1934,0,,
322,Walter Darby Bannard,"American, 1934–2016",American,M,1934,2016,,
323,John Banting,"British, 1902–1972",British,M,1902,1972,Q6220564,500028747
324,Rudolf Baranik,"American, 1920–1998",American,M,1920,1998,,
325,Vladimir Baranoff-Rossiné,"Ukrainian, 1888–1944",Ukrainian,M,1888,1944,Q573654,500017903
327,Anthony Barboza,"American, born 1944",American,M,1944,0,,
329,Miquel Barcelo,"Spanish, born 1957",Spanish,M,1957,0,Q561930,500003657
330,Peter Bardazzi,"American, born 1943",American,M,1943,0,,
331,Jules-Jean-Antoine Baric,"French, 1825–1905",French,M,1825,1905,,
332,Richard Baringer,"American, 1921–1980",American,M,1921,1980,,
333,George Barker,"Australian, born 1942",Australian,M,1942,0,,
334,Walter William Barker,"American, born Germany. 1921–2004",American,M,1921,2004,,
335,Ernst Barlach,"German, 1870–1938",German,M,1870,1938,Q156890,500013940
336,George Barnard,"American, 1819–1902",American,M,1819,1902,Q127916,500115186
337,Cyril H. Barnes,American,American,M,0,0,,
338,Matthew Rackham Barnes,"American, born Scotland.1880–1951",American,M,1880,1951,,
339,Robert Barnes,"American, born 1934",American,M,1934,0,,
342,Will Barnet,"American, 1911–2012",American,M,1911,2012,Q1566998,500010278
343,Tina Barney,"American, born 1945",American,F,1945,0,Q522240,500118716
344,Hannelore Baron,"American, 1926–1987",American,F,1926,1987,,
345,Martin Barooshian,"American, born 1929",American,M,1929,0,,
347,Steve Barraclough,British,British,M,0,0,,
348,Maurice Barraud,"Swiss, 1889–1955",Swiss,M,1889,1955,,
349,Susan Barron,"American, born 1947",American,F,1947,0,,
350,Thomas F. Barrow,"American, born 1938",American,M,1938,0,,
351,D. F. Barry,"American, 1854–1934",American,M,1854,1934,,
352,Robert Barry,"American, born 1936",American,M,1936,0,Q477373,500053936
353,Robert Bart,"American, born Canada 1923",American,M,1923,0,,
354,Frances Barth,"American, born 1946",American,F,1946,0,,
355,Ruodi Barth,"Swiss, 1921–1999",Swiss,M,1921,1999,,
356,"Ralph Bartholomew, Jr.","American, 1907–1985",American,M,1907,1985,,
357,Jennifer Bartlett,"American, born 1941",American,F,1941,0,Q6178106,500021315
358,Robert Bartlett,"British, 1922–1979",British,M,1922,1979,,
359,Carlo Bartoli,"Italian, born 1931",Italian,M,1931,0,,
360,Luigi Bartolini,"Italian, 1892–1963",Italian,M,1892,1963,Q172346,500016350
361,Joseph Bartscherer,"American, born 1954",American,M,1954,0,,
362,Gianfranco Baruchello,"Italian, born 1924",Italian,M,1924,0,Q328719,500022197
363,Héctor Basaldua,"Argentine, 1895–1976",Argentine,M,1895,1976,,
364,Bernard Baschet,"French, 1917–2015",French,M,1917,2015,,
365,François Baschet,"French, 1920–2014",French,M,1920,2014,,
366,Georg Baselitz,"German, born 1938",German,M,1938,0,Q164775,500045683
368,Mati Basis,"Israeli, born 1933",Israeli,M,1933,0,,
369,Leonard Baskin,"American, 1922–2000",American,M,1922,2000,Q2601617,500003136
370,Jean-Michel Basquiat,"American, 1960–1988",American,M,1960,1988,Q155407,500093239
371,Joel Bass,"American, born 1943",American,M,1943,0,,
372,Saul Bass,"American, 1920–1996",American,M,1920,1996,Q536884,500021030
374,Miriam Bat-Yosef,"German, born 1931",German,F,1931,0,,
375,Georges Bataille,"French, 1897–1962",French,M,1897,1962,Q207359,500093456
377,Josef Bato,"Hungarian, 1888–1966",Hungarian,M,1888,1966,,
378,John Battan,"American, 1943–1976",American,M,1943,1976,,
379,Wall Batterton,"British, born 1932",British,M,1932,0,,
380,Dora M. Batty,"British, 1900–1966",British,F,1900,1966,,
381,Eugen Batz,"German, 1905–1986; at Bauhaus 1929–31",German,M,1905,1986,,
382,"Harry W. Batz, Jr.",American,American,M,0,0,,
383,André Bauchant,"French, 1873–1958",French,M,1873,1958,Q516924,500003676
384,Karl Bauer,"German, 1868–1942",German,M,1868,1942,,
385,Rudolph Bauer,"American, born Poland. 1889–1954",American,M,1889,1954,,
386,Mary Bauermeister,"American, born 1934",American,F,1934,0,Q1426004,500021872
388,Marilyn Baum,"American, born 1939",American,F,1939,0,,
390,Hans Theo Baumann,"German, born Switzerland 1924",German,M,1924,0,,
391,Otto Baumberger,"Swiss, 1889–1961",Swiss,M,1889,1961,Q121025,
392,Willi Baumeister,"German, 1889–1955",German,M,1889,1955,Q707911,500022627
393,Lothar Baumgarten,"German, 1944–2018",German,M,1944,2018,Q455070,500088417
395,Edward Bawden,"British, 1903–1989",British,M,1903,1989,Q3305396,500027999
396,Glen Baxter,British,British,M,0,0,,
397,Iain Baxter&,"Canadian, born England 1936",Canadian,M,1936,0,Q522534,500073717
398,Hippolyte Bayard,"French, 1801–1887",French,M,1801,1887,Q559668,500003577
399,Herbert Bayer,"American, born Austria. 1900–1985",American,M,1900,1985,Q213637,500009369
401,Ed Baynard,"American, born 1940",American,M,1940,0,,
402,Thomas Bayrle,"German, born 1937",German,M,1937,0,,
403,Douglas Baz,"American, born 1943",American,M,1943,0,,
404,Jean Bazaine,"French, 1904–2001",French,M,1904,2001,Q708504,500031929
405,Castera Bazile,"Haitian, 1923–1966",Haitian,M,1923,1966,Q2941413,500075513
406,William Baziotes,"American, 1912–1963",American,M,1912,1963,Q652548,500023351
407,Gifford Beal,"American, 1879–1956",American,M,1879,1956,Q5559916,500019899
408,Jack Beal,"American,1931–2013",American,M,1931,2013,Q14828019,500010820
409,Lester Beall,"American, 1903–1969",American,M,1903,1969,Q6531814,500330273
411,Mark Beard,"American, born 1956",American,M,1956,0,,
412,Romare Bearden,"American, 1911–1988",American,M,1911,1988,Q1291679,500007871
413,Aubrey Beardsley,"British, 1872–1898",British,M,1872,1898,Q272566,500032068
414,Bruce Beasley,"American, born 1939",American,M,1939,0,Q612519,500107573
416,Felice Beato,"Italian, 1825–1903",Italian,M,1825,1903,Q318352,
417,Cecil Beaton,"British, 1904–1980",British,M,1904,1980,Q697096,500001040
418,Leslie Beaton,American,American,F,0,0,,
420,André Beaudin,"French, 1895–1975",French,M,1895,1975,,
421,Alessandro Becchi,"Italian, born 1946",Italian,M,1946,0,,
422,Bernd Becher,"German, 1931–2007",German,M,1931,2007,Q16947617,500027822
423,Thelma Becherer,"American, 1916–2008",American,F,1916,2008,,
424,Robert Bechtle,"American, 1932–2020",American,M,1932,2020,Q328645,500016607
425,Gustav K. Beck,"Austrian, 1902–1983",Austrian,M,1902,1983,,
427,Fred Becker,"American, 1913–2004",American,M,1913,2004,,
428,Bill Beckley,"American, born 1946",American,M,1946,0,Q4908082,500001551
429,Max Beckmann,"German, 1884–1950",German,M,1884,1950,Q164683,500024106
430,Francis Bedford,"British, 1816–1894",British,M,1816,1894,Q3504712,500023245
431,René Beeh,"German, 1886–1922",German,M,1886,1922,,
432,Jan Bontjes van Beek,"German, 1899–1969",German,M,1899,1969,,
433,Chris Hendrik Beekman,"Dutch, 1887–1964",Dutch,M,1887,1964,,
434,Max Beerbohm,"British, 1872–1956",British,M,1872,1956,Q472071,500017622
436,Hedda Beese,"German, born 1944",German,F,1944,0,,
438,Peter Behrens,"German, 1868–1940",German,M,1868,1940,Q76726,500022843
439,Edith Behring,"Brazilian, 1916–1996",Brazilian,F,1916,1996,,
440,John Behringer,"American, born 1939",American,M,1939,0,,
441,J. J. Beljon,"Dutch, 1922–2002",Dutch,M,1922,2002,,
442,Alistair Macready Bell,"Canadian, 1913–1997",Canadian,M,1913,1997,,
443,Charles M. Bell,"American, 1848–1893",American,M,1848,1893,,
444,Larry Bell,"American, born 1939",American,M,1939,0,Q202621,500005382
445,Vanessa Bell,"British, 1879–1961",British,F,1879,1961,Q255294,500008308
446,William H. Bell,"American, 1830–1910",American,M,1830,1910,,
447,Ross Bellah,"American, 1907–2004",American,M,1907,2004,,
448,Joseph Bellanca,"American, 1930-2013",American,M,1930,2013,,
449,John Bellany,"British, 1942–2013",British,M,1942,2013,,
