,Title,Artist,dateCreated,Department,dateAcquired,URL,Gender,Nationality,Nation,country_code,Divide,Region,Source
10487,"I Want to Spend the Rest of My Life Everywhere, with Everyone, One to One, Always, Forever, Now",Damien Hirst,1998,Still Images,2000,http://www.moma.org/collection/works/11571,M,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
11569,Invisible Cities,Wayne Thiebaud,1999,Still Images,2000,http://www.moma.org/collection/works/12664,M,American,United States,USA,Global North,North America,MoMA (sampled)
11608,"Untitled, 1996 (tomorrow is another day)",Rirkrit Tiravanija,1998,Still Images,2000,http://www.moma.org/collection/works/12703,M,Thai,Thailand,THA,Global South,Asia & Pacific,MoMA (sampled)
25655,Composition (photogram) for flyleaf,Varvara Rodchenko,1985,Still Images,2001,,F,Russian,Russia,RUS,missing,missing,MoMA (sampled)
25792,Untitled (photogram),Varvara Rodchenko,1985,Still Images,2001,,F,Russian,Russia,RUS,missing,missing,MoMA (sampled)
26420,Stikhi raznykh let. Iz neizdannogo,Varvara Rodchenko,1988,Still Images,2001,,F,Russian,Russia,RUS,missing,missing,MoMA (sampled)
30745,Peter Halley: Maintain Speed,Peter Halley,2000,Still Images,2001,http://www.moma.org/collection/works/32054,M,American,United States,USA,Global North,North America,MoMA (sampled)
30746,"Robert Mangold, Prints 1968–1998",Robert Mangold,2000,Still Images,2001,http://www.moma.org/collection/works/32055,M,American,United States,USA,Global North,North America,MoMA (sampled)
30747,Parkett no. 57,"Doug Aitken, Nan Goldin, Thomas Hirschhorn, Louise Bourgeois, Various Artists",1999,Still Images,2001,http://www.moma.org/collection/works/32056,"M, F, M, F, missing","American, American, Swiss, American, missing",missing,missing,missing,missing,MoMA (sampled)
30748,Parkett no. 58,"Sylvie Fleury, Jason Rhoades, James Rosenquist, Henry Bond, Dave Eggers, Various Artists",1999,Still Images,2001,http://www.moma.org/collection/works/32057,"F, M, M, M, M, missing","Swiss, American, American, British, missing, missing",missing,missing,missing,missing,MoMA (sampled)
30749,Parkett no. 59,"Maurizio Cattelan, Yayoi Kusama, Kara Walker, Dave Eggers, Various Artists",2000,Still Images,2001,http://www.moma.org/collection/works/32058,"M, F, F, M, missing","Italian, Japanese, American, missing, missing",missing,missing,missing,missing,MoMA (sampled)
30750,Parkett no. 60,"Diana Thater, Luc Tuymans, Chuck Close, Shirana Shahbazi, Dave Eggers, Various Artists",2000,Still Images,2001,http://www.moma.org/collection/works/32059,"F, M, M, F, M, missing","American, Belgian, American, German, missing, missing",missing,missing,missing,missing,MoMA (sampled)
30882,Cremaster 2,Matthew Barney,1999,Still Images,2000,http://www.moma.org/collection/works/32191,M,American,United States,USA,Global North,North America,MoMA (sampled)
30883,Jorge Pardo,Jorge Pardo,1997,Still Images,2000,http://www.moma.org/collection/works/32192,M,American,United States,USA,Global North,North America,MoMA (sampled)
30884,Jorge Pardo,Jorge Pardo,1997,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30885,Jorge Pardo,Jorge Pardo,1999,Still Images,2000,http://www.moma.org/collection/works/32194,M,American,United States,USA,Global North,North America,MoMA (sampled)
30886,Cane,Martin Puryear,2000,Still Images,2000,http://www.moma.org/collection/works/32195,M,American,United States,USA,Global North,North America,MoMA (sampled)
30887,"TRANS>ARTS.CULTURES.MEDIA, VOL. 6","Jorge Pardo, Various Artists",1999,Still Images,2000,,"M, missing","American, missing",missing,missing,missing,missing,MoMA (sampled)
30977,Diamond Sea,Doug Aitken,1998,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30978,The Missing Voice (case study b),Janet Cardiff,1999,Still Images,2001,,F,Canadian,Canada,CAN,Global North,North America,MoMA (sampled)
30979,Exploration of the Soul,Tracey Emin,1994,Still Images,2001,,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
30983,Snowblind,Damien Hirst,1998,Still Images,2001,,M,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
30986,DOBSF,Takashi Murakami,1999,Still Images,2001,,M,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
30987,Dodgers,Jorge Pardo,1995,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30988,Dodgers,Jorge Pardo,1995,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30989,Dodgers,Jorge Pardo,1995,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
30990,Untitled,Jorge Pardo,1999,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
31008,Perfect World,Jason Rhoades,2000,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
31012,Hell Yes!,Ugo Rondinone,2000,Still Images,2001,,M,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
31013,Guided by Voices,Ugo Rondinone,1999,Still Images,2001,,M,Swiss,Switzerland,CHE,Global North,Europe,MoMA (sampled)
31017,Phrase Book,Fred Tomaselli,2000,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
31018,White Snails,Richard Tuttle,1999,Still Images,2001,,M,American,United States,USA,Global North,North America,MoMA (sampled)
32414,Untitled,Carroll Dunham,1998,Still Images,2000,http://www.moma.org/collection/works/33970,M,American,United States,USA,Global North,North America,MoMA (sampled)
32468,"Proposal for Anchorange Historical and Fine Arts Museum, Anchorage, Alaska",Robert Morris,1983,Still Images,2000,http://www.moma.org/collection/works/34036,M,American,United States,USA,Global North,North America,MoMA (sampled)
32524,"The ""E"" Drawing",Edward Ruscha,1993,Still Images,2000,http://www.moma.org/collection/works/34100,M,American,United States,USA,Global North,North America,MoMA (sampled)
32533,Hollywood is a Verb,Edward Ruscha,1983,Still Images,2000,http://www.moma.org/collection/works/34112,M,American,United States,USA,Global North,North America,MoMA (sampled)
32580,Standard Collage,Edward Ruscha,1989,Still Images,2000,http://www.moma.org/collection/works/34166,M,American,United States,USA,Global North,North America,MoMA (sampled)
33622,House - South Rotation Red: 1 East,Kevin Appel,2000,Still Images,2000,http://www.moma.org/collection/works/35474,M,American,United States,USA,Global North,North America,MoMA (sampled)
33623,House - South Rotation: 2 Northeast,Kevin Appel,2000,Still Images,2000,http://www.moma.org/collection/works/35475,M,American,United States,USA,Global North,North America,MoMA (sampled)
33624,House - South Rotation: 3 Northwest,Kevin Appel,2000,Still Images,2000,http://www.moma.org/collection/works/35476,M,American,United States,USA,Global North,North America,MoMA (sampled)
33625,House - South Rotation Red: 4 West,Kevin Appel,2000,Still Images,2000,http://www.moma.org/collection/works/35477,M,American,United States,USA,Global North,North America,MoMA (sampled)
33679,No Title (Dumped in Arizona...),Raymond Pettibon,1984,Still Images,2000,http://www.moma.org/collection/works/35558,M,American,United States,USA,Global North,North America,MoMA (sampled)
33682,No Title (Don't complicate...),Raymond Pettibon,1987,Still Images,2000,http://www.moma.org/collection/works/35564,M,American,United States,USA,Global North,North America,MoMA (sampled)
33687,No Title (With his unshrinking...),Raymond Pettibon,1987,Still Images,2000,http://www.moma.org/collection/works/35571,M,American,United States,USA,Global North,North America,MoMA (sampled)
33698,No Title (Not a single armorer...),Raymond Pettibon,1990,Still Images,2000,http://www.moma.org/collection/works/35583,M,American,United States,USA,Global North,North America,MoMA (sampled)
33703,No Title (I'm longing for it),Raymond Pettibon,1997,Still Images,2000,http://www.moma.org/collection/works/35589,M,American,United States,USA,Global North,North America,MoMA (sampled)
33710,No Title (In the midsts...),Raymond Pettibon,1993,Still Images,2000,http://www.moma.org/collection/works/35598,M,American,United States,USA,Global North,North America,MoMA (sampled)
34081,Functionally Fixed and Functionally Unfixed Panels,Andrea Zittel,1998,Still Images,2000,http://www.moma.org/collection/works/36044,F,American,United States,USA,Global North,North America,MoMA (sampled)
34084,Self-Portrait,Chuck Close,1997,Still Images,2000,http://www.moma.org/collection/works/36049,M,American,United States,USA,Global North,North America,MoMA (sampled)
34088,Magdalena,Marlene Dumas,1996,Still Images,2000,http://www.moma.org/collection/works/36055,F,South African,South Africa,ZAF,Global South,Africa,MoMA (sampled)
34093,Skinatural,Ellen Gallagher,1997,Still Images,2000,http://www.moma.org/collection/works/36063,F,American,United States,USA,Global North,North America,MoMA (sampled)
34097,Untitled,Wolfgang Laib,1983,Still Images,2000,http://www.moma.org/collection/works/36068,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
34102,Untitled (There is a consciousness we all have...),Glenn Ligon,1988,Still Images,2000,http://www.moma.org/collection/works/36074,M,American,United States,USA,Global North,North America,MoMA (sampled)
36014,Moulting,Miroslaw Balka,1988,Still Images,2001,http://www.moma.org/collection/works/38459,M,Polish,Poland,POL,Global North,Europe,MoMA (sampled)
36020,"Figure/Ladder Series, IV",Betty Goodwin,1996,Still Images,2001,http://www.moma.org/collection/works/38465,F,Canadian,Canada,CAN,Global North,North America,MoMA (sampled)
36094,Untitled (Sculpture),Luc Tuymans,2000,Still Images,2001,http://www.moma.org/collection/works/38540,M,Belgian,Belgium,BEL,Global North,Europe,MoMA (sampled)
36237,Untitled,Ellen Gallagher,2000,Still Images,2000,http://www.moma.org/collection/works/38703,F,American,United States,USA,Global North,North America,MoMA (sampled)
36239,Proyecto de Acumulacion de Materiales (Project of Accumulation of Materials),"Los Carpinteros, Alexandre Arrechea, Dagoberto Rodriguez, Marco Castillo",1999,Still Images,2000,http://www.moma.org/collection/works/38705,"missing, M, M, M","Cuban, Cuban, Cuban, Cuban",missing,missing,missing,missing,MoMA (sampled)
36241,Untitled,John Morris,1993,Still Images,2000,http://www.moma.org/collection/works/38707,M,American,United States,USA,Global North,North America,MoMA (sampled)
36242,Untitled,John Morris,1992,Still Images,2000,http://www.moma.org/collection/works/38708,M,American,United States,USA,Global North,North America,MoMA (sampled)
36243,Untitled,John Morris,1992,Still Images,2000,http://www.moma.org/collection/works/38709,M,American,United States,USA,Global North,North America,MoMA (sampled)
36244,Untitled (Facing Balconies),Juan Muñoz,1984,Still Images,2000,http://www.moma.org/collection/works/38710,M,Spanish,Spain,ESP,Global North,Europe,MoMA (sampled)
36245,Untitled (Balcony with heavy black vertical line),Juan Muñoz,1984,Still Images,2000,http://www.moma.org/collection/works/38711,M,Spanish,Spain,ESP,Global North,Europe,MoMA (sampled)
36246,Untitled (Balcony with Awning and Sketch below),Juan Muñoz,1984,Still Images,2000,http://www.moma.org/collection/works/38712,M,Spanish,Spain,ESP,Global North,Europe,MoMA (sampled)
36247,Untitled (3 Balconies with Time),Juan Muñoz,1984,Still Images,2000,http://www.moma.org/collection/works/38713,M,Spanish,Spain,ESP,Global North,Europe,MoMA (sampled)
36248,Liam,Elizabeth Peyton,1996,Still Images,2000,http://www.moma.org/collection/works/38714,F,American,United States,USA,Global North,North America,MoMA (sampled)
36249,John 1971,Elizabeth Peyton,1997,Still Images,2000,http://www.moma.org/collection/works/38715,F,American,United States,USA,Global North,North America,MoMA (sampled)
36250,Matthew Smoking,Elizabeth Peyton,1997,Still Images,2000,http://www.moma.org/collection/works/38716,F,American,United States,USA,Global North,North America,MoMA (sampled)
36251,"Daniel, Berlin",Elizabeth Peyton,1999,Still Images,2000,http://www.moma.org/collection/works/38717,F,American,United States,USA,Global North,North America,MoMA (sampled)
36252,Spencer,Elizabeth Peyton,1999,Still Images,2000,http://www.moma.org/collection/works/38718,F,American,United States,USA,Global North,North America,MoMA (sampled)
36253,Anniversary,José Toirac,1999,Still Images,2000,http://www.moma.org/collection/works/38719,M,Cuban,Cuba,CUB,Global South,South/Latin America,MoMA (sampled)
36254,"Drawing for Water Tower, I",Rachel Whiteread,1997,Still Images,2000,http://www.moma.org/collection/works/38720,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
36255,"Drawing for Water Tower, II",Rachel Whiteread,1997,Still Images,2000,http://www.moma.org/collection/works/38721,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
36256,"Drawing for Water Tower, III",Rachel Whiteread,1997,Still Images,2000,http://www.moma.org/collection/works/38722,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
36257,"Drawing for Water Tower, IV",Rachel Whiteread,1997,Still Images,2000,http://www.moma.org/collection/works/38723,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
36258,"Drawing for Water Tower, V",Rachel Whiteread,1997,Still Images,2000,http://www.moma.org/collection/works/38724,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
36259,"Drawing for Water Tower, VI",Rachel Whiteread,1997,Still Images,2000,http://www.moma.org/collection/works/38725,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
36260,"Drawing for Water Tower, VII",Rachel Whiteread,1997,Still Images,2000,http://www.moma.org/collection/works/38726,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
36261,"Drawing for Water Tower, VIII",Rachel Whiteread,1997,Still Images,2000,http://www.moma.org/collection/works/38727,F,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
36263,Study for Imperfect Painting,Roy Lichtenstein,1986,Still Images,2000,http://www.moma.org/collection/works/38729,M,American,United States,USA,Global North,North America,MoMA (sampled)
36264,Study for Imperfect Painting,Roy Lichtenstein,1986,Still Images,2000,http://www.moma.org/collection/works/38730,M,American,United States,USA,Global North,North America,MoMA (sampled)
45450,The Yellow Wall,Tina Barney,1997,Still Images,2000,http://www.moma.org/collection/works/48195,F,American,United States,USA,Global North,North America,MoMA (sampled)
45544,Suburbia,Thomas Florschuetz,1996,Still Images,2000,http://www.moma.org/collection/works/48296,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
45592,Diagonal,Thomas Florschuetz,1996,Still Images,2000,http://www.moma.org/collection/works/48344,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
45609,"Villa Wittgenstein, Vienna",Günther Förg,1986,Still Images,2000,http://www.moma.org/collection/works/48363,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
45626,"Toys ""R"" Us",Andreas Gursky,1999,Still Images,2000,http://www.moma.org/collection/works/48381,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
51640,Nude,Lee Friedlander,1988,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
51650,"Chippewa Falls, Wisconsin",Lee Friedlander,1986,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52088,Tucson,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52150,"Cairo, Egypt",Lee Friedlander,1983,Still Images,2000,http://www.moma.org/collection/works/55164,M,American,United States,USA,Global North,North America,MoMA (sampled)
52161,"Yoshino, Japan",Lee Friedlander,1984,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52238,Japan,Lee Friedlander,1984,Still Images,2000,http://www.moma.org/collection/works/55258,M,American,United States,USA,Global North,North America,MoMA (sampled)
52248,"Kyoto, Japan",Lee Friedlander,1984,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52258,"Kobe, Japan",Lee Friedlander,1984,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52268,"Santa Barbara, California",Lee Friedlander,1984,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52387,Nude,Lee Friedlander,1984,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52395,Rochester,Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52403,New York City,Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52487,"The Museum of Modern Art, New York",Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52495,"Memphis, Tennessee",Lee Friedlander,1991,Still Images,2000,http://www.moma.org/collection/works/55523,M,American,United States,USA,Global North,North America,MoMA (sampled)
52503,"Philadelphia, Pennsylvania",Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52511,Canada,Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52518,"The Museum of Modern Art, New York",Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52531,"Ajo, Arizona",Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52543,Arizona,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52549,"Memphis, Tennessee",Lee Friedlander,1985,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52555,"Chiracowa Mountains, Arizona",Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52562,"Raoul Hague's Studio, Woodstock, New York",Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52568,"Raoul Hague's Studio. Woodstock, New York",Lee Friedlander,1990,Still Images,2000,http://www.moma.org/collection/works/55596,M,American,United States,USA,Global North,North America,MoMA (sampled)
52574,"Raoul Hague's Studio. Woodstock, New York",Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52580,"Raoul Hague's Studio. Woodstock, New York",Lee Friedlander,1990,Still Images,2000,http://www.moma.org/collection/works/55608,M,American,United States,USA,Global North,North America,MoMA (sampled)
52603,Untitled,Jan Groover,1993,Still Images,2011,,F,American,United States,USA,Global North,North America,MoMA (sampled)
52604,Utah,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52609,Untitled,Jan Groover,1987,Still Images,2010,http://www.moma.org/collection/works/55637,F,American,United States,USA,Global North,North America,MoMA (sampled)
52610,Arizona,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52615,Untitled,Jan Groover,1987,Still Images,2011,http://www.moma.org/collection/works/55643,F,American,United States,USA,Global North,North America,MoMA (sampled)
52616,Arizona,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52622,London,Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52627,"Memphis, Tennessee",Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52632,London,Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52637,New York City,Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52642,"The Museum of Modern Art, New York",Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52647,"Oakland, California",Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52652,"Zermatt, Switzerland",Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52657,"Raoul Hague's Studio, Woodstock, New York",Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52663,"Zermatt, Switzerland",Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52669,Florida,Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52675,Grand Canyon,Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52680,France,Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52685,New York City,Lee Friedlander,1988,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52691,New York State,Lee Friedlander,1988,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52697,"Steen Mountains, Oregon",Lee Friedlander,1987,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52718,Egypt,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52725,"Philadelphia, Pennsylvania",Lee Friedlander,1986,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52732,Bryce Canyon,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52739,"The Laguna Reservation, New Mexico, Laguna, New Mexico",Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52746,Bryce Canyon,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52753,William Christenberry.  Alabama,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52767,"Newport, Rhode Island",Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52772,"Raoul Hague's Studio. Woodstock, New York",Lee Friedlander,1983,Still Images,2000,http://www.moma.org/collection/works/55804,M,American,United States,USA,Global North,North America,MoMA (sampled)
52784,"Steen Mountains, Oregon",Lee Friedlander,1987,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52790,New York City,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52802,Egypt,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52838,New York City,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52844,"Rice Lake, Wisconsin",Lee Friedlander,1986,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
52856,Nude,Lee Friedlander,1989,Still Images,2000,http://www.moma.org/collection/works/55888,M,American,United States,USA,Global North,North America,MoMA (sampled)
52861,Nude,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54535,"Richard Pare and his Wife, Hyan",Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54536,"Richard Pare and his Wife, Hyan",Lee Friedlander,1985,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54538,André Kertész,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54539,André Kertész,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54540,Larry Rivers,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54541,Larry Rivers,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54542,"Richard Benson. Newport, Rhode Island",Lee Friedlander,1984,Still Images,2000,http://www.moma.org/collection/works/57599,M,American,United States,USA,Global North,North America,MoMA (sampled)
54546,Raghubir and Anne Singh,Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54547,William Eggleston,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54549,Richard Benson.  Canadian Rockies,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54550,Phyllis Lambert,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54551,William Cristenberry,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54552,William Christenberry,Lee Friedlander,1990,Still Images,2000,http://www.moma.org/collection/works/57609,M,American,United States,USA,Global North,North America,MoMA (sampled)
54553,William Eggleston,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54554,William Eggleston and Friend,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54555,"William Eggleston. Memphis, Tennessee",Lee Friedlander,1991,Still Images,2000,http://www.moma.org/collection/works/57612,M,American,United States,USA,Global North,North America,MoMA (sampled)
54561,Raghubir Singh,Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54562,Raghubir Singh,Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54563,Richard and Arabella Pare,Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54564,"William Christenberry, Paris",Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54565,"John Szarkowski, France",Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54566,"John Szarkowski, France",Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54567,"John, Natasha and Jill Szarkowski",Lee Friedlander,1989,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54568,"Raghubir Singh and Friend, Benares",Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54569,Richard Woodward,Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54571,William Christenberry,Lee Friedlander,1988,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54572,Richard and Arabella Pare,Lee Friedlander,1988,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54573,Jeffrey Fraenkel,Lee Friedlander,1988,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54574,Raghubir Singh,Lee Friedlander,1988,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54575,"Connie Marks and Leo Rubinfien.  Croton, New York",Lee Friedlander,1988,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54576,"Raghubir and Anne Singh, Paris",Lee Friedlander,1988,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54577,"William Gedney. Staten Island, New York",Lee Friedlander,1987,Still Images,2000,http://www.moma.org/collection/works/57634,M,American,United States,USA,Global North,North America,MoMA (sampled)
54578,Maria Morris,Lee Friedlander,1987,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54579,Richard Pare,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54580,Daniel Wolf,Lee Friedlander,1987,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54581,Raghubir Singh,Lee Friedlander,1985,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54582,"William Christenberry. Tuscaloosa, Alabama",Lee Friedlander,1983,Still Images,2000,http://www.moma.org/collection/works/57639,M,American,United States,USA,Global North,North America,MoMA (sampled)
54583,"Daniel Wolf, Colorado",Lee Friedlander,1991,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54584,"Raoul Hague. Woodstock, New York",Lee Friedlander,1983,Still Images,2000,http://www.moma.org/collection/works/57641,M,American,United States,USA,Global North,North America,MoMA (sampled)
54587,"John Szarkowski. Tucson, Arizona",Lee Friedlander,1992,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54633,"Laurence Miller.  Grand Canyon National Park, Arizona",Lee Friedlander,1992,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54635,Tucson,Lee Friedlander,1984,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54637,Arizona,Lee Friedlander,1990,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54639,Organ Pipe,Lee Friedlander,1984,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54645,Egypt,Lee Friedlander,1983,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54647,"Chippewa Falls, Wisconsin",Lee Friedlander,1986,Still Images,2000,,M,American,United States,USA,Global North,North America,MoMA (sampled)
54708,"Drinking ""Super"" in Birkenhead Park",Ken Grant,1994,Still Images,2000,http://www.moma.org/collection/works/57765,M,British,United Kingdom,GBR,Global North,Europe,MoMA (sampled)
