,Title,Artist,dateCreated,Department,dateAcquired,URL,Gender,Nationality,Nation,country_code,Divide,Region,Source
85609,Untitled (Butterfly Flower #27),Hiroe Saeki,2004,Still Images,2005,http://www.moma.org/collection/works/97246,F,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
85610,Untitled (Flower #18),Hiroe Saeki,2003,Still Images,2005,http://www.moma.org/collection/works/97247,F,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
85611,Untitled (Flower #20),Hiroe Saeki,2003,Still Images,2005,http://www.moma.org/collection/works/97248,F,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
85612,Rocks,Mamoru Sakagawa,2001,Still Images,2005,http://www.moma.org/collection/works/97249,M,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
85613,Rocks,Mamoru Sakagawa,2001,Still Images,2005,http://www.moma.org/collection/works/97250,M,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
85614,Rocks,Mamoru Sakagawa,2001,Still Images,2005,http://www.moma.org/collection/works/97251,M,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
85615,Untitled (Shopping),Mamoru Sakagawa,2002,Still Images,2005,http://www.moma.org/collection/works/97252,M,Japanese,Japan,JPN,Global North,Asia & Pacific,MoMA (sampled)
85616,Untitled (Companion #3),Sam Salisbury,2003,Still Images,2005,http://www.moma.org/collection/works/97253,M,American,United States,USA,Global North,North America,MoMA (sampled)
85617,Untitled (Companion #5),Sam Salisbury,2003,Still Images,2005,http://www.moma.org/collection/works/97254,M,American,United States,USA,Global North,North America,MoMA (sampled)
85626,Untitled study,Fred Sandback,1995,Still Images,2005,http://www.moma.org/collection/works/97263,M,American,United States,USA,Global North,North America,MoMA (sampled)
85627,Untitled study,Fred Sandback,1995,Still Images,2005,http://www.moma.org/collection/works/97264,M,American,United States,USA,Global North,North America,MoMA (sampled)
85633,Untitled (Construction for Marian Goodman Gallery),Fred Sandback,1985,Still Images,2005,http://www.moma.org/collection/works/97270,M,American,United States,USA,Global North,North America,MoMA (sampled)
85634,Untitled,Fred Sandback,1990,Still Images,2005,http://www.moma.org/collection/works/97271,M,American,United States,USA,Global North,North America,MoMA (sampled)
85635,Untitled,Fred Sandback,1991,Still Images,2005,http://www.moma.org/collection/works/97272,M,American,United States,USA,Global North,North America,MoMA (sampled)
