Title;Artist;dateCreated;Department;dateAcquired;URL;Gender;Nationality;Nation;country_code;Divide;Region;Source
Critical Inquiry in Green;The Poetics, Art Byington, Mike Kelley, Dave Muller, Tony Oursler, Stephen Vitiello, Bill Wintersole, Zoe Pettijohn, Cathy, Princess, Bad News, Linda Post;1998;Still Images;2013;http://www.moma.org/collection/works/184208;missing, missing, M, M, M, M, missing, missing, missing, missing, missing, missing;missing, missing, American, American, American, American, missing, missing, missing, missing, missing, missing;United States;USA;Global North;North America;MoMA (sampled)
The Teen-Pop-Noise Virus;Poptastic, Chris Fitzpatrick, Thomas Dimuzio;2008;Still Images;2013;http://www.moma.org/collection/works/184210;missing, missing, missing;missing, missing, missing;missing;missing;missing;missing;MoMA (sampled)
Push Comes to Love;Stephen Prina;1999;Still Images;2013;http://www.moma.org/collection/works/184211;M;American;United States;USA;Global North;North America;MoMA (sampled)
Good Revolution (for Parkett no. 34);Richard Prince;1992;Still Images;2013;http://www.moma.org/collection/works/184212;M;American;United States;USA;Global North;North America;MoMA (sampled)
"walk from shore through marsh; field activity #1";Ted Purves;2000;Still Images;2013;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Speaking in Tongues;Talking Heads, Robert Rauschenberg;1983;Still Images;2013;http://www.moma.org/collection/works/184217;missing, M;missing, American;United States;USA;Global North;North America;MoMA (sampled)
Everglade;Jeff Rian, Jean-Jacques Palix;2000;Still Images;2013;http://www.moma.org/collection/works/184222;missing, missing;missing, missing;missing;missing;missing;missing;MoMA (sampled)
Death Valley 69;Sonic Youth, Lydia Lunch, Gerhard Richter;1984;Still Images;2013;http://www.moma.org/collection/works/184223;missing, missing, M;American, missing, German;Germany;DEU;Global North;Europe;MoMA (sampled)
Pipolotti Rist 54;Pipilotti Rist;2001;Still Images;2013;http://www.moma.org/collection/works/184226;F;Swiss;Switzerland;CHE;Global North;Europe;MoMA (sampled)
Art, and Therefore, Ourselves (Songs, Recipes, and the Old People);Allen Ruppersberg, Various Artists;2009;Still Images;2013;http://www.moma.org/collection/works/184229;M, missing;American, missing;United States;USA;Global North;North America;MoMA (sampled)
Daphne Bors. Stephanie Brohon. Julien Hugonnier. Pourquoi ne faites-vous pas d'art?;Various Artists;1994;Still Images;2013;http://www.moma.org/collection/works/184231;missing;missing;missing;missing;missing;missing;MoMA (sampled)
Ding-Dong;David Shrigley;2006;Still Images;2013;http://www.moma.org/collection/works/184234;M;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
prelude: the prposed site of the grandview gardens;Frances Stark;2002;Still Images;2013;http://www.moma.org/collection/works/184237;F;American;United States;USA;Global North;North America;MoMA (sampled)
Tuberama;Georgina Starr;1998;Still Images;2013;http://www.moma.org/collection/works/184238;F;British;United Kingdom;GBR;Global North;Europe;MoMA (sampled)
Greetings from the Gutter;Dave Stewart, Damien Hirst;1994;Still Images;2013;http://www.moma.org/collection/works/184239;M, M;missing, British;United Kingdom;missing;missing;missing;MoMA (sampled)
Heart of Stone;Dave Stewart;1994;Still Images;2013;http://www.moma.org/collection/works/184289;M;missing;missing;missing;missing;missing;MoMA (sampled)
An Address to the Soul Occasioned by the Rain;Stephanie Taylor;1999;Still Images;2013;http://www.moma.org/collection/works/184293;F;missing;missing;missing;missing;missing;MoMA (sampled)
City Picture Fiction no. 32;Jake Tilson;1996;Still Images;2013;http://www.moma.org/collection/works/184295;M;missing;missing;missing;missing;missing;MoMA (sampled)
Foundsounds;Jake Tilson;1997;Still Images;2013;http://www.moma.org/collection/works/184296;M;missing;missing;missing;missing;missing;MoMA (sampled)
Gate 23;Jake Tilson;1997;Still Images;2013;http://www.moma.org/collection/works/184297;M;missing;missing;missing;missing;missing;MoMA (sampled)
Principle and Material Force;Nikolaus Urban;1983;Still Images;2013;http://www.moma.org/collection/works/184300;missing;missing;missing;missing;missing;missing;MoMA (sampled)
Before the Sound of the Beep (Avant le bip sonore);Various Artists;1993;Still Images;2013;http://www.moma.org/collection/works/184312;missing;missing;missing;missing;missing;missing;MoMA (sampled)
Dada for Now;Various Artists;1985;Still Images;2013;http://www.moma.org/collection/works/184313;missing;missing;missing;missing;missing;missing;MoMA (sampled)
