,index,Gender
0,"F, M",18
1,"M, F",15
2,"M, M",14
3,"M, M, M",6
4,"F, F",4
5,"M, F, M",3
6,"F, M, M",3
7,"F, M, M, M, M, F, missing, M, missing, M",1
8,"F, missing",1
9,"M, missing",1
10,"missing, F",1
11,"F, F, F",1
12,"missing, M",1
13,"missing, M, F, F, F",1
14,"M, F, F, M, M, M, M",1
15,NB,1
